"","ID_label","Young_value","id_cell","sig_xx","sig_xy","sig_yy"
"1",0,0.002,0,0,0,0
"2",1,0.001,101,0.0120846787354725,-0.0128272656840171,0.0401637318329198
"3",2,0.001,102,0.0076238728477367,0.00257697798442535,0.0431949340755603
"4",3,0.001,103,0.00785554587071667,0.00678565703560391,0.00915785680555729
"5",4,0.001,104,0.0212297952145179,-0.00655801954895425,0.00405893817454185
"6",5,0.001,105,0.0122202220807481,-0.00158262545714963,0.0014509113514617
"7",6,0.001,106,0.00893196640791065,-0.00520272226359036,0.00473253135986544
"8",7,0.001,108,0.0230781257974567,0.0100640055153421,0.00454064875133574
"9",8,0.001,109,0.00048755845177705,-0.000576587926961068,0.000681874422042191
"10",9,0.001,111,0.0259709445446015,-0.000111566415564588,0.00133669616860413
"11",10,0.001,202,0.0216935530543087,-0.0346894335260628,0.0908258513865137
"12",11,0.001,203,0.0156211748864626,0.0183304015093532,0.0587921345381062
"13",12,0.001,204,0.0300663017927564,0.0168612482217814,0.0176160590974759
"14",13,0.001,205,0.0272453714180458,-0.00518906502815933,0.00213072871335311
"15",14,0.001,207,0.00989901545143063,-0.00674482375867834,0.00459567395958121
"16",15,0.001,208,0.025292702931041,0.00265566628731327,0.00370471994094848
"17",16,0.001,302,0.0256026617917775,0.0268556047196473,0.0460610446361807
"18",17,0.001,303,0.028811983941248,-0.00190170769051775,0.00247470276596463
"19",18,0.001,304,0.0175547881382432,-0.00611303681055334,0.00415399500138203
"20",19,0.001,305,0.0126261748684739,-0.00999304745364292,0.011932444294142
"21",20,0.001,306,0.00594693249884034,-0.00645135296574567,0.00738645045162071
"22",21,0.001,307,0.0499783403516466,0.0139645105005504,0.0112810523378513
"23",22,0.001,308,0.00668232259063983,-0.0057254627055886,0.0780094951052203
"24",23,0.001,402,0.017066987859913,0.00903890242526077,0.00948408692807101
"25",24,0.001,403,0.0290404700980637,-0.00277833185427542,0.00253423806184394
"26",25,0.001,404,0.0159584392234822,-0.0119485485140649,0.0120778431472074
"27",26,0.001,405,0.0232027891361466,0.00491069817557636,0.00419869179450492
"28",27,0.001,406,0.0163055261551936,-0.0226712698099427,0.0709272765411789
"29",28,0.001,407,0.0112572587448929,-0.00401142351015611,0.00253105036166055
"30",29,0.001,408,0.00794919727991692,0.0105165161499646,0.0527441268104486
"31",30,0.001,409,0.0106028115722428,0.012570769973542,0.023551805186212
"32",31,0.001,502,0.0242358703695134,0.00706238360111263,0.00854843797686783
"33",32,0.001,503,0.0287793833058538,-0.000440182991022752,0.00507146107046439
"34",33,0.001,504,0.010062829264206,-0.00938575251495847,0.0121865064375225
"35",34,0.001,505,0.00768721794392839,-0.00727975841209471,0.0672653297630326
"36",35,0.001,506,0.0275153282189298,-0.00958724042549763,0.00914961457732839
"37",36,0.001,507,0.0206550727573746,0.0202674217356945,0.040186158913586
"38",37,0.001,601,0.00740865035120993,-0.00581533606145534,0.00497619681021958
"39",38,0.001,602,0.0253846121849834,0.0120005885394621,0.0153344035023104
"40",39,0.001,603,0.0239384973734263,-0.00114037615355929,0.00362693444577063
"41",40,0.001,604,0.0152074525108231,-0.00253158138218825,0.00289428148913271
"42",41,0.001,605,0.00765844396083485,0.00726059005709541,0.0603039505659323
"43",42,0.001,607,0.0212312135448173,0.00345759868226573,0.0062977689461569
"44",43,0.001,608,0.013610016097712,0.0124673913777172,0.0256169568990751
"45",44,0.001,609,0.00298692200981834,0.000477324264321793,0.00127613930683455
"46",45,0.001,610,0.000560349757701506,0.000123885295159371,0.000853117837130479
"47",46,0.001,611,0.00359458233279937,-0.000107249794623511,0.00087419087390237
"48",47,0.001,612,0.000781493945255911,-0.000136447536082088,0.00061017428437204
"49",48,0.001,701,0.04197294102153,0.0128141587443434,0.00817733311778384
"50",49,0.001,702,0.0295214234204122,-0.00284109938367341,0.00270930946875695
"51",50,0.001,703,0.0261672306851687,-0.0111837512344713,0.00680048827686009
"52",51,0.001,704,0.00357151067996784,-0.0057939712891962,0.0523987793904696
"53",52,0.001,705,0.0190450292577976,0.0248647589836243,0.0552860598077845
"54",53,0.001,801,0.0431171881491965,0.00571585629473175,0.00308693317106949
"55",54,0.001,802,0.00038285648182604,0.00475241116819218,0.0589918493839685
"56",55,0.001,803,0.0343491429745569,-0.00793926934542755,0.00305490066807801
"57",56,0.001,805,0.02542578452224,0.0235436986366501,0.026547276925833
"58",57,0.001,901,0.000145160822553735,-0.00179299029220656,0.0221465691044629
"59",58,0.001,902,0.00268744865507679,0.00887678459131822,0.0293204874935231
"60",59,0.001,903,0.023810040171551,0.00990842623768503,0.00412334081758292
"61",60,0.001,905,0.0249650035135945,-0.0014268675015486,0.000917898986921093
"62",61,0.001,906,0.0107317937384277,0.0125093575004246,0.014581348550625
"63",62,0.001,908,0.0250742492978901,-0.0080005908443775,0.00255279642068978
"64",63,0.001,950,0.00315706682569561,0.00173752153781415,0.000956261384712011
"65",64,0.001,951,0.00510143411743889,0.00223172252937162,0.000976310843862336
"66",65,0.001,952,0.0040228946369444,0.00106537837033633,0.000430914505286969
"67",66,0.001,953,0.00444500104279383,0.0006169141564678,0.000176729669685398
"68",67,0.001,1001,6.24025185998556e-05,0.00149279049104921,0.035710472913061
"69",68,0.001,1003,0.0266295008839497,0.0250057069735629,0.0234809275612284
"70",69,0.001,1004,0.044235928364806,0.00159720695793734,5.76696400592118e-05
"71",70,0.001,1005,0.0315416244611537,-0.0111506158635956,0.003941973067703
