"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
3.8037,15.299,0,-0.019951,0.0087297,0,0.0087297,0.029675,0,0,0,0,-0.19326,0.10114,0,0.1176,0.53814,0,0,0,0.092608,-107.16,122.24,0,-0.0047126,0.081271,0,0.081271,0.3779,0,0,0,0,3.4546,1.2124,0,1.9473,11.999,0,0,0,3.5542,1306
35.759,72.852,0,-0.0019461,-0.0097178,0,-0.0097178,0.010025,0,0,0,0,0.067217,-0.16698,0,-0.13346,0.20481,0,0,0,0.076945,155.71,137.46,0,0.038603,-0.077124,0,-0.077124,0.12226,0,0,0,0,2.3879,-1.8221,0,-1.0922,3.5327,0,0,0,1.532,2299
37.292,72.62,0,0.011233,-0.0083192,0,-0.0083192,-0.0022962,0,0,0,0,0.25653,-0.12376,0,-0.10439,0.045342,0,0,0,0.085117,161.41,130.9,0,0.11705,-0.064369,0,-0.064369,0.027532,0,0,0,0,3.5027,-1.2442,0,-0.90451,1.7947,0,0,0,1.3769,2592
3.6653,11.705,0,-0.013034,0.014281,0,0.014281,0.025779,0,0,0,0,-0.074179,0.17573,0,0.20396,0.5172,0,0,0,0.12139,-110.82,112.31,0,0.023054,0.1202,0,0.1202,0.33686,0,0,0,0,3.8281,1.9143,0,2.8548,10.948,0,0,0,3.4278,4475
3.7281,12.587,0,-0.0097604,0.0127,0,0.0127,0.026724,0,0,0,0,0.012224,0.15032,0,0.18765,0.57068,0,0,0,0.16156,-109.9,114.79,0,0.024725,0.11705,0,0.11705,0.34278,0,0,0,0,3.926,1.8448,0,2.8104,11.178,0,0,0,3.5001,4476
3.7701,13.48,0,-0.012305,0.011912,0,0.011912,0.02768,0,0,0,0,-0.037969,0.13879,0,0.1724,0.56853,0,0,0,0.14642,-108.99,117.27,0,0.018324,0.11189,0,0.11189,0.35505,0,0,0,0,3.8612,1.7292,0,2.7021,11.538,0,0,0,3.5559,4477
3.7964,14.386,0,-0.016388,0.012057,0,0.012057,0.027343,0,0,0,0,-0.13658,0.14217,0,0.16689,0.52053,0,0,0,0.10433,-108.08,119.75,0,0.012527,0.10893,0,0.10893,0.35363,0,0,0,0,3.6825,1.6467,0,2.6149,11.404,0,0,0,3.4872,4478
38.565,72.525,0,0.018166,-0.0044246,0,-0.0044246,-0.0062407,0,0,0,0,0.38176,-0.065123,0,-0.053662,0.022713,0,0,0,0.11358,167.05,125.25,0,0.16182,-0.055454,0,-0.055454,0.013829,0,0,0,0,4.6466,-1.0603,0,-0.8766,1.9053,0,0,0,1.6728,4882
37.743,72.611,0,0.011233,-0.0083192,0,-0.0083192,-0.0022962,0,0,0,0,0.25653,-0.12376,0,-0.10439,0.045342,0,0,0,0.085117,163.6,129.25,0,0.11705,-0.064369,0,-0.064369,0.027532,0,0,0,0,3.5027,-1.2442,0,-0.90451,1.7947,0,0,0,1.3769,5083
36.446,72.758,0,-0.0020231,-0.008386,0,-0.008386,0.010803,0,0,0,0,0.070974,-0.15198,0,-0.11325,0.22359,0,0,0,0.083619,158.63,134.55,0,0.026816,-0.065829,0,-0.065829,0.12523,0,0,0,0,2.0691,-1.6314,0,-0.90057,3.4893,0,0,0,1.4481,5084
