"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
0.99194,15.67,0,0.0017955,-0.0055579,0,-0.0055579,0.0020347,0,0,0,0,0.064452,-0.081363,0,-0.078479,0.064312,0,0,0,0.036478,126.35,53.123,0,0.010063,-0.014116,0,-0.014116,0.010895,0,0,0,0,0.35415,-0.21667,0,-0.20074,0.3571,0,0,0,0.19959,1444
0.913,15.676,0,0.0004539,-0.004958,0,-0.004958,0.0036395,0,0,0,0,0.047608,-0.073578,0,-0.070142,0.089848,0,0,0,0.038985,124.92,54.921,0,0.0058553,-0.012579,0,-0.012579,0.014394,0,0,0,0,0.28489,-0.19579,0,-0.17863,0.40162,0,0,0,0.19285,1445
-1.9372,4.0071,0,-0.0044822,0.0067659,0,0.0067659,0.010236,0,0,0,0,-0.01273,0.088727,0,0.097118,0.20772,0,0,0,0.054794,-92.75,19.821,0,-0.00014674,0.017302,0,0.017302,0.035859,0,0,0,0,0.33056,0.22323,0,0.27606,0.89695,0,0,0,0.34012,3873
-2.0056,4.1549,0,-0.0041035,0.0068414,0,0.0068414,0.0096219,0,0,0,0,-0.0097097,0.090057,0,0.098295,0.19665,0,0,0,0.052556,-91.686,22.232,0,0.00022864,0.017135,0,0.017135,0.034084,0,0,0,0,0.3225,0.22107,0,0.27299,0.85556,0,0,0,0.32679,3874
-2.0764,4.2995,0,-0.0035465,0.0068751,0,0.0068751,0.0090734,0,0,0,0,-0.0018287,0.090698,0,0.099132,0.18885,0,0,0,0.052637,-90.623,24.643,0,0.0010077,0.017222,0,0.017222,0.032581,0,0,0,0,0.32671,0.22259,0,0.27455,0.82545,0,0,0,0.3199,3875
-2.1495,4.4422,0,-0.0031929,0.0070619,0,0.0070619,0.0085248,0,0,0,0,0.0011336,0.09356,0,0.10194,0.17927,0,0,0,0.05078,-89.56,27.054,0,0.0015875,0.017422,0,0.017422,0.030978,0,0,0,0,0.32505,0.22569,0,0.27752,0.79113,0,0,0,0.31015,3876
1.1529,15.663,0,0.0015677,-0.0057207,0,-0.0057207,0.0017821,0,0,0,0,0.056647,-0.083436,0,-0.08095,0.056105,0,0,0,0.031903,129.7,49.609,0,0.0097229,-0.014185,0,-0.014185,0.010567,0,0,0,0,0.3427,-0.21709,0,-0.20191,0.34593,0,0,0,0.19324,3949
1.073,15.666,0,0.0017955,-0.0055579,0,-0.0055579,0.0020347,0,0,0,0,0.064452,-0.081363,0,-0.078479,0.064312,0,0,0,0.036478,128.03,51.366,0,0.010063,-0.014116,0,-0.014116,0.010895,0,0,0,0,0.35415,-0.21667,0,-0.20074,0.3571,0,0,0,0.19959,3950
0.83838,15.685,0,0.00048509,-0.0050362,0,-0.0050362,0.0035892,0,0,0,0,0.047922,-0.074691,0,-0.07125,0.08891,0,0,0,0.038803,123.72,56.713,0,0.0059656,-0.012728,0,-0.012728,0.014388,0,0,0,0,0.28763,-0.19811,0,-0.18075,0.40251,0,0,0,0.19385,3951
