"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
65.946,93.936,0,0.01405,0.0044328,0,0.0044328,0.029369,0,0,0,0,0.49917,-0.38344,0,0.37901,0.76993,0,0,0,0.41351,-1.8326,172.2,0,0.97459,0.78961,0,0.78961,1.5366,0,0,0,0,39.684,-13.641,0,67.187,101.94,0,0,0,23.916,1263
140.21,562.33,0,-0.011744,-0.0017804,0,-0.0017804,0.012375,0,0,0,0,-0.032803,-0.18211,0,-0.15845,0.041766,0,0,0,0.0060147,212.33,30.639,0,-0.0013396,-0.087407,0,-0.087407,0.74364,0,0,0,0,4.7985,-27.027,0,5.7884,7.5803,0,0,0,7.0696,1754
132.62,558.53,0,-0.010965,-0.0059058,0,-0.0059058,0.010789,0,0,0,0,0.020329,-0.17484,0,-0.17624,-0.020886,0,0,0,-0.0016795,211.25,36.117,0,0.027002,-0.16817,0,-0.16817,0.71003,0,0,0,0,7.2822,-26.73,0,5.5407,5.6732,0,0,0,7.0193,1755
125.98,555.37,0,-0.0048489,-0.0092984,0,-0.0092984,0.0075912,0,0,0,0,0.10509,-0.17914,0,-0.092196,-0.066553,0,0,0,0.026118,210.63,40.8,0,0.10903,-0.27233,0,-0.27233,0.62733,0,0,0,0,11.063,-25.534,0,6.126,3.0896,0,0,0,7.013,1756
65.943,101.14,0,0.017015,0.0058032,0,0.0058032,0.019715,0,0,0,0,0.39143,-0.36361,0,0.46748,0.53903,0,0,0,0.34981,2.2615,173.6,0,1.3632,0.72658,0,0.72658,0.77337,0,0,0,0,38.629,-9.5384,0,76.763,61.384,0,0,0,20.348,4236
64.674,113.83,0,0.020566,0.0019261,0,0.0019261,0.010039,0,0,0,0,0.33083,-0.33661,0,0.49808,0.28372,0,0,0,0.29148,9.2301,176.33,0,1.6889,0.37444,0,0.37444,0.24534,0,0,0,0,40.543,-12.473,0,81.643,29.36,0,0,0,18.422,4379
64.912,109.35,0,0.020566,0.0019261,0,0.0019261,0.010039,0,0,0,0,0.33083,-0.33661,0,0.49808,0.28372,0,0,0,0.29148,6.7223,175.86,0,1.6889,0.37444,0,0.37444,0.24534,0,0,0,0,40.543,-12.473,0,81.643,29.36,0,0,0,18.422,4380
136.42,560.45,0,-0.011744,-0.0017804,0,-0.0017804,0.012375,0,0,0,0,-0.032803,-0.18211,0,-0.15845,0.041766,0,0,0,0.0060147,211.79,33.378,0,-0.0013396,-0.087407,0,-0.087407,0.74364,0,0,0,0,4.7985,-27.027,0,5.7884,7.5803,0,0,0,7.0696,4418
129.29,556.97,0,-0.010965,-0.0059058,0,-0.0059058,0.010789,0,0,0,0,0.020329,-0.17484,0,-0.17624,-0.020886,0,0,0,-0.0016795,210.94,38.458,0,0.027002,-0.16817,0,-0.16817,0.71003,0,0,0,0,7.2822,-26.73,0,5.5407,5.6732,0,0,0,7.0193,4419
66.91,88.003,0,-0.066518,0.0062615,0,0.0062615,0.015028,0,0,0,0,-0.52582,0.12365,0,-0.41786,-0.076587,0,0,0,-0.24519,-7.3707,170.25,0,2.1169,0.9881,0,0.9881,1.1386,0,0,0,0,34.271,-9.986,0,68.926,51.486,0,0,0,15.502,9667
