"time","basal_slope","apical_slope","raw_angle","correction","final_angle"
0,0.379864950563672,-5.89158239659766,-101.166814677502,180,78.8331853224983
2,0.380139073954965,-5.82285876718077,-101.069011607596,180,78.9309883924044
4,0.380482292834242,-5.75213446470751,-100.968715822654,180,79.0312841773464
6,0.380891015571962,-5.67934630968718,-100.865301251423,180,79.1346987485771
8,0.381365394396987,-5.60594852853632,-100.760969958648,180,79.2390300413515
10,0.3819043680418,-5.53112736891469,-100.653988674442,180,79.3460113255577
12,0.382507185544801,-5.45544768395877,-100.545034601107,180,79.454965398893
14,0.383170276709355,-5.37910061816309,-100.434018200237,180,79.5659817997632
16,0.383893367670167,-5.30285258564442,-100.32216792722,180,79.6778320727797
18,0.384680436165669,-5.22629229426341,-100.208694662769,180,79.7913053372308
20,0.38552162819651,-5.14816677742645,-100.090261218366,180,79.9097387816336
22,0.38642298985966,-5.07360045457291,-99.9776737068319,180,80.0223262931681
24,0.38737631894548,-4.99775996478797,-99.8603170608542,180,80.1396829391458
26,0.388379145840237,-4.92376841587502,-99.7447100990086,180,80.2552899009914
28,0.389437472673719,-4.84896238065933,-99.6250786177097,180,80.3749213822903
30,0.390553098721917,-4.77333057914067,-99.5010931487964,180,80.4989068512036
32,0.391712033717155,-4.69983145734848,-99.378979796563,180,80.621020203437
34,0.392926928568961,-4.62742618924367,-99.2569366580906,180,80.7430633419094
36,0.394187200367099,-4.55696184230094,-99.1366701703262,180,80.8633298296738
38,0.395498180701094,-4.48665306945781,-99.0138102615089,180,80.9861897384911
40,0.396858029098915,-4.41640048937357,-98.887774553451,180,81.112225446549
42,0.398267707081181,-4.34659222038787,-98.759478055144,180,81.240521944856
44,0.399723759663784,-4.28019094619582,-98.6373814876629,180,81.3626185123371
46,0.401224943110845,-4.21216513561085,-98.5066807409191,180,81.4933192590809
48,0.402776236397469,-4.14691214689503,-98.3807497316051,180,81.6192502683949
50,0.404371995519189,-4.08321113235296,-98.25584771395,180,81.74415228605
52,0.406023384250237,-4.0200792620163,-98.1294148804406,180,81.8705851195594
54,0.407717029284241,-3.95438248348034,-97.9899010828767,180,82.0100989171233
56,0.409455343992587,-3.89379489506519,-97.8635485421002,180,82.1364514578998
58,0.411242483603105,-3.83329915356322,-97.7335481255374,180,82.2664518744626
60,0.413079324249694,-3.77283897956515,-97.5994758964802,180,82.4005241035198
62,0.414961511269147,-3.71467003853012,-97.4695687265266,180,82.5304312734734
64,0.416894161456581,-3.65558702660187,-97.3317788703864,180,82.6682211296136
66,0.418875277326211,-3.59960705084889,-97.2018809377779,180,82.7981190622221
68,0.420903358840442,-3.54268145175825,-97.0634984257786,180,82.9365015742214
70,0.422971321109369,-3.48858249414357,-96.932051354269,180,83.067948645731
72,0.425097964882879,-3.43442767544554,-96.7963062226313,180,83.2036937773687
74,0.427275256959159,-3.38168512222445,-96.6623150802163,180,83.3376849197837
76,0.429476129595103,-3.32865505898712,-96.5209633140464,180,83.4790366859536
78,0.431763459935275,-3.27661898571469,-96.3811187755094,180,83.6188812244906
80,0.434094198835589,-3.22657792781427,-96.2458234716266,180,83.7541765283734
82,0.436455398214695,-3.17720401958335,-96.1081368291623,180,83.8918631708377
84,0.438864160334579,-3.12767861243245,-95.9645216849211,180,84.0354783150789
86,0.441347597181751,-3.07908853436339,-95.821834307221,180,84.178165692779
88,0.443873858952382,-3.03250969464475,-95.6847018442827,180,84.3152981557173
90,0.446448011091142,-2.98545531442278,-95.539629270961,180,84.460370729039
92,0.449074702114695,-2.93947203689779,-95.3954843664063,180,84.6045156335937
94,0.451745075966677,-2.89457803596607,-95.2521643672052,180,84.7478356327948
96,0.454505730576463,-2.85034128680061,-95.1094032223129,180,84.8905967776871
98,0.4572953863577,-2.80639906416934,-94.9619666281557,180,85.0380333718443
100,0.460118349815627,-2.76328662011811,-94.8134494193693,180,85.1865505806307
102,0.462972315607648,-2.72179040327372,-94.6692348351583,180,85.3307651648417
104,0.465955872553726,-2.68014813592421,-94.5222076166278,180,85.4777923833722
106,0.468966844569375,-2.63955614029166,-94.3757483733273,180,85.6242516266727
108,0.471995762658905,-2.59891638136603,-94.2215971473846,180,85.7784028526154
110,0.475112643555385,-2.55960979997492,-94.07316432458,180,85.92683567542
112,0.478243893894548,-2.52090233720127,-93.9217699221872,180,86.0782300778128
114,0.481520544573214,-2.48256644836508,-93.7717531982788,180,86.2282468017212
116,0.484751181773308,-2.44482505213002,-93.6159449617507,180,86.3840550382493
118,0.488104463462019,-2.40797656781594,-93.4647609717927,180,86.5352390282073
120,0.491489636784431,-2.37136714070965,-93.3085989856311,180,86.6914010143689
122,0.494966912594995,-2.33540676268576,-93.1537172546521,180,86.8462827453479
124,0.498447136012962,-2.30009140189061,-92.9960958107708,180,87.0039041892292
126,0.502060051170977,-2.26544727049731,-92.842067502085,180,87.157932497915
128,0.50568711965907,-2.23132469975473,-92.6849183772255,180,87.3150816227745
130,0.509391567289779,-2.19746690151966,-92.5250792649466,180,87.4749207350534
132,0.513162009031203,-2.16456222089079,-92.3688398187544,180,87.6311601812456
134,0.51700842788354,-2.13174121434689,-92.2080668184686,180,87.7919331815314
136,0.520899698964714,-2.09930523413726,-92.0442885135304,180,87.9557114864696
138,0.524809291868426,-2.0672241791708,-91.8759730537826,180,88.1240269462174
140,0.52881833905441,-2.0366595639791,-91.7196653533597,180,88.2803346466403
142,0.532886507036206,-2.00702481217534,-91.5677730879709,180,88.4322269120291
144,0.537064546141735,-1.97542224232469,-91.3891833354047,180,88.6108166645953
146,0.541258978877287,-1.94552522130445,-91.2217008023752,180,88.7782991976248
148,0.545569204003354,-1.91674315037759,-91.0636485420411,180,88.9363514579589
150,0.549926237781071,-1.88810674338662,-90.9004641519176,180,89.0995358480824
152,0.554356619326588,-1.85924536197237,-90.7283822144956,180,89.2716177855044
154,0.558816039836727,-1.83329227334404,-90.5861599250521,180,89.4138400749479
156,0.563342890261347,-1.80188348533363,-90.3652540088281,180,89.6347459911719
158,0.567966542055205,-1.77872985303603,-90.2504781499508,180,89.7495218500492
160,0.572740322585161,-1.74934901822045,-90.0474416603702,180,89.9525583396298
162,0.577495430284482,-1.72102460805512,-89.8475414849042,180,90.1524585150958
164,0.582393210629794,-1.69626985642085,-89.6956553755571,180,90.3043446244429
166,0.587277801709564,-1.67243407270384,-89.5482634237927,180,90.4517365762073
168,0.592352291570282,-1.64606249791447,-89.3613632540787,180,90.6386367459213
170,0.597450669541547,-1.61977670539208,-89.1663363889017,180,90.8336636110983
172,0.602592627383758,-1.59689186213802,-89.0173805193518,180,90.9826194806482
174,0.607860206372621,-1.5703667996129,-88.8050175912661,180,91.1949824087339
176,0.613184512370403,-1.54484658266599,-88.6004548601502,180,91.3995451398498
178,0.61856004135241,-1.52342248646927,-88.4577146619451,180,91.5422853380549
180,0.624074109756573,-1.50191741859553,-88.310924960168,180,91.689075039832
182,0.629702453817512,-1.47803243617475,-88.1174170857575,180,91.8825829142425
184,0.635345154355838,-1.45337192691307,-87.899523058227,180,92.100476941773
186,0.641134496690236,-1.4321476093153,-87.7405830142136,180,92.2594169857864
188,0.647009283778129,-1.40871093433706,-87.5334868055761,180,92.4665131944239
190,0.652933081861594,-1.38552294613904,-87.3220133426291,180,92.6779866573709
192,0.659030685948928,-1.36545816877467,-87.168741967798,180,92.831258032202
194,0.665156545124301,-1.34462999120797,-86.9919795465619,180,93.0080204534381
196,0.671406499203568,-1.32298262424583,-86.7932067438544,180,93.2067932561456
198,0.677716815118295,-1.30189817317284,-86.5979547329276,180,93.4020452670724
200,0.684136450040715,-1.280726744772,-86.3944977865363,180,93.6055022134637
202,0.690691075364042,-1.26103493575907,-86.2180943944944,180,93.7819056055056
204,0.697319846059899,-1.2413489633745,-86.0347703393867,180,93.9652296606133
206,0.70405533445232,-1.22121407399135,-85.835084702977,180,94.164915297023
208,0.710956494280062,-1.20087677005338,-85.6261794339554,180,94.3738205660446
210,0.71793581565712,-1.18159496072137,-85.4342251539642,180,94.5657748460358
212,0.724964033315697,-1.16119762689057,-85.2063929117427,180,94.7936070882573
214,0.732173253060803,-1.14430364460402,-85.0605781293555,180,94.9394218706445
216,0.739439284923364,-1.12384635833642,-84.8179458696161,180,95.1820541303839
218,0.746903915046527,-1.10514993245667,-84.6156825081058,180,95.3843174918942
220,0.754525006206203,-1.08661568841644,-84.4124569971782,180,95.5875430028218
222,0.762166063126016,-1.06831933526076,-84.2052875580068,180,95.7947124419932
224,0.769958790278126,-1.05158456119782,-84.0351169939191,180,95.9648830060809
226,0.777922529882045,-1.03226420853716,-83.7897017677183,180,96.2102982322817
228,0.785968305062957,-1.01529539220663,-83.6010710318778,180,96.3989289681222
230,0.794180683671702,-0.996461610927912,-83.354377158597,180,96.645622841403
232,0.802549324256653,-0.98099562404464,-83.1991205421188,180,96.8008794578812
234,0.811019184648555,-0.963367666508793,-82.9738201522449,180,97.0261798477551
236,0.819700041528924,-0.945297050698799,-82.7307065922287,180,97.2692934077713
238,0.828456141475649,-0.928004679914201,-82.5017196275786,180,97.4982803724214
240,0.837367045879983,-0.912147689432214,-82.3111310634566,180,97.6888689365434
242,0.846436289829891,-0.895588951769521,-82.0930612288161,180,97.9069387711839
244,0.855704712273544,-0.878801709537454,-81.8628210589116,180,98.1371789410884
246,0.865121858640879,-0.8624986373781,-81.6415239729894,180,98.3584760270106
248,0.874728592465524,-0.847198062073197,-81.4483229378554,180,98.5516770621446
250,0.88449231576051,-0.830241585353297,-81.1933802879045,180,98.8066197120955
252,0.894414516569703,-0.814538372691169,-80.9740490859397,180,99.0259509140603
254,0.904493066037899,-0.799802526714905,-80.7820323069857,180,99.2179676930143
256,0.914835231602695,-0.783150386571945,-80.5196598242084,180,99.4803401757916
258,0.92529057661197,-0.768883779891052,-80.3338957961466,180,99.6661042038534
260,0.936008210398216,-0.753392319696809,-80.1009541110651,180,99.8990458889349
262,0.946899410139595,-0.737702724496963,-79.8539741935226,180,100.146025806477
264,0.957998001599613,-0.722087091535374,-79.6036722407219,180,100.396327759278
266,0.969267048748125,-0.707398602870561,-79.3814329898065,180,100.618567010194
268,0.980858213716806,-0.692964638802765,-79.1669368505815,180,100.833063149418
270,0.992550912958683,-0.678137698027594,-78.928477865574,180,101.071522134426
272,1.0045549763757,-0.66262218888158,-78.6595321333198,180,101.34046786668
274,1.0167746439397,-0.649107244948679,-78.4644443838193,180,101.535555616181
276,1.02928264993687,-0.633971175025054,-78.2002428846209,180,101.799757115379
278,1.04198484880474,-0.619893264376984,-77.9723764645006,180,102.027623535499
280,1.05497809848316,-0.605768511562581,-77.7386650616012,180,102.261334938399
282,1.06820213787928,-0.590969746257905,-77.4705344519634,180,102.529465548037
284,1.08177365308285,-0.576715325571882,-77.2221731380182,180,102.777826861982
286,1.09556978271762,-0.563312886543879,-77.0043225162162,180,102.995677483784
288,1.10965744785115,-0.549098353239039,-76.74660370295,180,103.25339629705
290,1.12409451891798,-0.535420557251422,-76.5090634474213,180,103.490936552579
292,1.13882761815489,-0.520829220242817,-76.2255780300147,180,103.774421969985
294,1.15393512241729,-0.50690791380528,-75.9686141050386,180,104.031385894961
296,1.16928743209896,-0.492739003158938,-75.6934856649414,180,104.306514335059
298,1.18504275672851,-0.480083686441542,-75.4855092088551,180,104.514490791145
300,1.20112734145755,-0.46566882669143,-75.1908140339957,180,104.809185966004
302,1.21764351721904,-0.452914746561895,-74.9716340244716,180,105.028365975528
304,1.23455430420727,-0.438906583613679,-74.6892054346298,180,105.31079456537
306,1.25176727704582,-0.425879478036803,-74.4478324291645,180,105.552167570835
308,1.26948951075902,-0.412222068467799,-74.1743894954083,180,105.825610504592
310,1.28761513040154,-0.398741455031298,-73.9052487151642,180,106.094751284836
312,1.30619927592862,-0.384743825092771,-73.6069766070016,180,106.393023392998
314,1.32530164641221,-0.371654943935685,-73.3516283745385,180,106.648371625462
316,1.34481245107956,-0.358910984872231,-73.1091973270188,180,106.890802672981
318,1.36491084692953,-0.345174047279251,-72.8150288863881,180,107.184971113612
320,1.38544580198231,-0.331318599229184,-72.5096447219341,180,107.490355278066
322,1.40661984274837,-0.318509169967917,-72.257214450536,180,107.742785549464
324,1.42832233694876,-0.305519396936048,-71.9922142545291,180,108.007785745471
