"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
38.965,4.6989,0,0.010034,0.018175,0,0.018175,-0.0029708,0,0,0,0,0.29149,0.25778,0,0.17683,-0.058311,0,0,0,0.067268,-1.8326,172.2,0,0.51665,0.30458,0,0.30458,0.16048,0,0,0,0,22.05,11.345,0,1.008,7.554,0,0,0,6.4489,1263
18.433,-126.47,0,0.0046441,-0.0095173,0,-0.0095173,0.0035435,0,0,0,0,0.028412,-0.026448,0,-0.19894,0.18782,0,0,0,0.077977,212.33,30.639,0,0.085408,-0.12584,0,-0.12584,0.1912,0,0,0,0,1.8113,2.0702,0,-4.6978,6.6448,0,0,0,2.6343,1754
22.203,-125.73,0,0.00097215,-0.0061974,0,-0.0061974,0.0074917,0,0,0,0,0.022815,0.041007,0,-0.1288,0.20571,0,0,0,0.080608,211.25,36.117,0,0.039502,-0.092979,0,-0.092979,0.21715,0,0,0,0,1.4899,2.5493,0,-3.4005,6.5013,0,0,0,2.4443,1755
25.359,-125.27,0,0.00034758,-0.0028663,0,-0.0028663,0.0088193,0,0,0,0,0.052025,0.089053,0,-0.086963,0.20036,0,0,0,0.087304,210.63,40.8,0,0.021186,-0.067451,0,-0.067451,0.20995,0,0,0,0,1.3976,2.5089,0,-2.5596,5.8676,0,0,0,2.2013,1756
41.632,3.6944,0,0.016094,0.013414,0,0.013414,-0.001317,0,0,0,0,0.42026,0.22434,0,0.074967,0.060452,0,0,0,0.14073,2.2615,173.6,0,0.6094,0.26392,0,0.26392,0.10592,0,0,0,0,24.765,9.8706,0,-0.12382,7.1591,0,0,0,6.8126,4236
46.529,1.8102,0,0.020479,0.0095461,0,0.0095461,-0.0053152,0,0,0,0,0.46815,0.15317,0,0.016409,0.029919,0,0,0,0.14441,9.2301,176.33,0,0.71878,0.1997,0,0.1997,0.046893,0,0,0,0,28.23,7.7653,0,-1.9182,6.8575,0,0,0,7.2922,4379
44.983,2.4939,0,0.020479,0.0095461,0,0.0095461,-0.0053152,0,0,0,0,0.46815,0.15317,0,0.016409,0.029919,0,0,0,0.14441,6.7223,175.86,0,0.71878,0.1997,0,0.1997,0.046893,0,0,0,0,28.23,7.7653,0,-1.9182,6.8575,0,0,0,7.2922,4380
20.32,-126.11,0,0.0046441,-0.0095173,0,-0.0095173,0.0035435,0,0,0,0,0.028412,-0.026448,0,-0.19894,0.18782,0,0,0,0.077977,211.79,33.378,0,0.085408,-0.12584,0,-0.12584,0.1912,0,0,0,0,1.8113,2.0702,0,-4.6978,6.6448,0,0,0,2.6343,4418
23.786,-125.49,0,0.00097215,-0.0061974,0,-0.0061974,0.0074917,0,0,0,0,0.022815,0.041007,0,-0.1288,0.20571,0,0,0,0.080608,210.94,38.458,0,0.039502,-0.092979,0,-0.092979,0.21715,0,0,0,0,1.4899,2.5493,0,-3.4005,6.5013,0,0,0,2.4443,4419
36.68,6.0376,0,0.0062818,-0.014759,0,-0.014759,-0.05929,0,0,0,0,-0.22187,-0.21671,0,-0.05381,-0.60231,0,0,0,-0.25242,-7.3707,170.25,0,0.68316,0.22139,0,0.22139,0.22388,0,0,0,0,14.715,4.775,0,0.45014,6.4897,0,0,0,4.3192,9667
