"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
73.134,5.8191,0,0.0036996,0.021617,0,0.021617,0.0028062,0,0,0,0,0.26896,0.32232,0,0.19977,-0.073344,0,0,0,0.06196,-1.8326,172.2,0,1.0573,0.73249,0,0.73249,0.49255,0,0,0,0,62.225,42.153,0,-6.2474,13.251,0,0,0,14.761,1263
-2.9055,-215.53,0,0.010735,-0.010473,0,-0.010473,3.5769e-05,0,0,0,0,-0.039109,0.037209,0,-0.29895,0.18098,0,0,0,0.10258,212.33,30.639,0,0.28406,-0.28634,0,-0.28634,0.31854,0,0,0,0,-1.8736,10.01,0,-14.842,12.148,0,0,0,5.739,1754
3.7861,-215.86,0,0.0046518,-0.0052358,0,-0.0052358,0.0080441,0,0,0,0,0.018091,0.17704,0,-0.20269,0.17658,0,0,0,0.12091,211.25,36.117,0,0.10986,-0.19685,0,-0.19685,0.3844,0,0,0,0,-0.90794,10.264,0,-8.6667,10.529,0,0,0,4.7072,1755
9.3507,-216.43,0,0.0018694,-0.00081181,0,-0.00081181,0.010187,0,0,0,0,0.063573,0.21856,0,-0.1273,0.14676,0,0,0,0.11482,210.63,40.8,0,0.040327,-0.10555,0,-0.10555,0.39168,0,0,0,0,0.5242,9.9014,0,-5.5263,8.8732,0,0,0,4.1143,1756
77.833,3.476,0,0.012497,0.016546,0,0.016546,0.0025862,0,0,0,0,0.40639,0.30179,0,0.04937,0.042425,0,0,0,0.14365,2.2615,173.6,0,1.2832,0.66774,0,0.66774,0.34449,0,0,0,0,70.661,37.475,0,-10.263,12.042,0,0,0,15.502,4236
86.533,-1.0183,0,0.019137,0.011555,0,0.011555,-0.0043898,0,0,0,0,0.4547,0.18671,0,-0.035151,-0.0034467,0,0,0,0.14045,9.2301,176.33,0,1.5611,0.49465,0,0.49465,0.14895,0,0,0,0,80.192,27.941,0,-17.643,11.076,0,0,0,16.286,4379
83.828,0.58779,0,0.019137,0.011555,0,0.011555,-0.0043898,0,0,0,0,0.4547,0.18671,0,-0.035151,-0.0034467,0,0,0,0.14045,6.7223,175.86,0,1.5611,0.49465,0,0.49465,0.14895,0,0,0,0,80.192,27.941,0,-17.643,11.076,0,0,0,16.286,4380
0.43826,-215.71,0,0.010735,-0.010473,0,-0.010473,3.5769e-05,0,0,0,0,-0.039109,0.037209,0,-0.29895,0.18098,0,0,0,0.10258,211.79,33.378,0,0.28406,-0.28634,0,-0.28634,0.31854,0,0,0,0,-1.8736,10.01,0,-14.842,12.148,0,0,0,5.739,4418
6.5717,-216.14,0,0.0046518,-0.0052358,0,-0.0052358,0.0080441,0,0,0,0,0.018091,0.17704,0,-0.20269,0.17658,0,0,0,0.12091,210.94,38.458,0,0.10986,-0.19685,0,-0.19685,0.3844,0,0,0,0,-0.90794,10.264,0,-8.6667,10.529,0,0,0,4.7072,4419
69.243,8.5814,0,0.0030657,-0.018817,0,-0.018817,-0.079855,0,0,0,0,-0.36139,-0.38535,0,-0.00020333,-0.77231,0,0,0,-0.36566,-7.3707,170.25,0,1.448,0.51694,0,0.51694,0.45735,0,0,0,0,40.453,16.361,0,-2.5611,13.084,0,0,0,9.073,9667
