"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
6.1888,41.584,0,-0.02514,0.0057315,0,0.0057315,0.030554,0,0,0,0,-0.30888,-0.0028494,0,0.031299,0.50992,0,0,0,0.051561,-107.16,122.24,0,0.0051467,0.18472,0,0.18472,1.1244,0,0,0,0,9.9715,-1.9068,0,7.9261,48.914,0,0,0,10.757,1306
43.343,224.17,0,-0.0012748,-0.0071138,0,-0.0071138,0.0062904,0,0,0,0,0.062439,-0.14276,0,-0.086694,0.097466,0,0,0,0.047767,155.71,137.46,0,0.063175,-0.11382,0,-0.11382,0.18309,0,0,0,0,4.1316,-4.0677,0,-0.91007,4.8711,0,0,0,2.3454,2299
46.737,225.3,0,0.011278,-0.0055656,0,-0.0055656,-0.012567,0,0,0,0,0.16652,-0.026682,0,-0.036707,-0.20318,0,0,0,-0.012282,161.41,130.9,0,0.25865,-0.083302,0,-0.083302,0.012752,0,0,0,0,7.9738,-2.3691,0,0.44576,2.342,0,0,0,2.5848,2592
7.4715,32.677,0,-0.015847,0.016053,0,0.016053,0.025563,0,0,0,0,-0.16933,0.14043,0,0.2049,0.5081,0,0,0,0.092532,-110.82,112.31,0,0.094247,0.34359,0,0.34359,1.0003,0,0,0,0,11.358,3.0001,0,13.687,44.934,0,0,0,10.424,4475
7.2785,34.893,0,-0.0016109,0.010653,0,0.010653,0.027774,0,0,0,0,0.19318,0.029756,0,0.19894,0.68323,0,0,0,0.24917,-109.9,114.79,0,0.10142,0.33078,0,0.33078,1.0232,0,0,0,0,11.798,2.3634,0,13.516,46.192,0,0,0,10.71,4476
6.9987,37.113,0,-0.0048629,0.0094041,0,0.0094041,0.028815,0,0,0,0,0.12964,0.011669,0,0.16735,0.67367,0,0,0,0.22811,-108.99,117.27,0,0.0769,0.29957,0,0.29957,1.0631,0,0,0,0,11.361,1.0953,0,12.426,47.684,0,0,0,10.857,4477
6.6355,39.342,0,-0.021821,0.011816,0,0.011816,0.027907,0,0,0,0,-0.27436,0.076561,0,0.11988,0.49517,0,0,0,0.057965,-108.08,119.75,0,0.048434,0.27818,0,0.27818,1.0473,0,0,0,0,10.267,0.41282,0,11.336,46.106,0,0,0,10.436,4478
49.668,226.76,0,0.014724,-0.0020703,0,-0.0020703,-0.013591,0,0,0,0,0.2257,0.0084454,0,0.017478,-0.18301,0,0,0,0.01079,167.05,125.25,0,0.29057,-0.075205,0,-0.075205,0.010632,0,0,0,0,9.0146,-2.1576,0,0.31062,2.7319,0,0,0,2.8686,4882
47.746,225.92,0,0.011278,-0.0055656,0,-0.0055656,-0.012567,0,0,0,0,0.16652,-0.026682,0,-0.036707,-0.20318,0,0,0,-0.012282,163.6,129.25,0,0.25865,-0.083302,0,-0.083302,0.012752,0,0,0,0,7.9738,-2.3691,0,0.44576,2.342,0,0,0,2.5848,5083
44.82,224.72,0,0.00035153,-0.0067798,0,-0.0067798,0.0064391,0,0,0,0,0.09885,-0.14487,0,-0.069094,0.11692,0,0,0,0.064672,158.63,134.55,0,0.057831,-0.10817,0,-0.10817,0.18599,0,0,0,0,3.9654,-3.966,0,-0.84531,4.9271,0,0,0,2.3221,5084
