"","ID_label","Young_value","id_cell","sig_xx","sig_xy","sig_yy"
"1",0,0.002,0,0,0,0
"2",1,0.001,101,0.0116802542927159,-0.0173120721428252,0.0495766076465661
"3",2,0.001,102,0.00488906676692744,0.00281630470522606,0.0437636507607613
"4",3,0.001,103,0.00843831110894561,0.00756139362107075,0.00988950228228173
"5",4,0.001,104,9.39596005367081e-05,0.00027779467316967,0.000821309158411067
"6",5,0.001,105,0.00134288822208329,-0.000193259546816622,2.78126293920609e-05
"7",6,0.001,106,0.000578437889515579,-0.00039032255173374,0.000263384707595014
"8",7,0.001,108,0.00297672065074962,0.00106624699633465,0.00101273829899938
"9",8,0.001,109,0,0,0
"10",9,0.001,111,2.41123738175174e-08,5.32420429279518e-06,0.00117562673695879
"11",10,0.001,202,0.0135828160370203,-0.0325303145514666,0.0784122232028313
"12",11,0.001,203,0.00586880524966758,0.0100362221271549,0.0295056765034291
"13",12,0.001,204,0.00707837373263617,0.00250738905875591,0.00522693296725588
"14",13,0.001,205,7.27047673990865e-05,0.000366315171841025,0.00184563970041125
"15",14,0.001,207,0.00123318705741648,0.000523520126118493,0.00164482212839816
"16",15,0.001,208,0.000785413857710127,-0.000132092786875624,0.00185919969059422
"17",16,0.001,302,0.0085854198201975,0.00776289945936097,0.0144991339510147
"18",17,0.001,303,0.00197410843919057,7.18193790482657e-05,0.00296875508717959
"19",18,0.001,304,0.00318690727158637,0.000531697480306619,0.00435247655667208
"20",19,0.001,305,0.00304695197108611,-0.000635918065892339,0.00300280569767692
"21",20,0.001,306,0.00155499590507723,-0.00173813010888979,0.00194283230300802
"22",21,0.001,307,0.00638817287345045,0.000504745905622531,0.00498946307385604
"23",22,0.001,308,0.00143240460126256,-0.00442604787244653,0.0565716127996906
"24",23,0.001,402,0.00767604236143492,0.00291639688275122,0.00522942355758192
"25",24,0.001,403,0.00504893692051334,-0.00025363070831436,0.00262921359057856
"26",25,0.001,404,0.00391329043389595,-0.00288243957382499,0.00297714461776458
"27",26,0.001,405,0.00433895348473598,0.000369012083902802,0.00291089960889219
"28",27,0.001,406,0.0089583185655741,-0.0195157338582008,0.0559774556645675
"29",28,0.001,407,5.0332775684903e-05,0.000116041143019784,0.000302761668434674
"30",29,0.001,408,0.00641572609149362,0.00595825894690581,0.0317948331879253
"31",30,0.001,409,0.00544575448445858,0.00457090715664274,0.0101541890279264
"32",31,0.001,502,0.0109666896115213,0.00288855617949434,0.0045504380543223
"33",32,0.001,503,0.00875298170139066,-0.000108460055476542,0.00291140532673476
"34",33,0.001,504,0.00253535808126069,-0.00283836435436944,0.00317758357988988
"35",34,0.001,505,0.002166306328823,-0.00570418339124641,0.0488497890328277
"36",35,0.001,506,0.00329632418558446,-0.000166016234064665,0.00297829663236072
"37",36,0.001,507,0.0131300508221073,0.0117869066647534,0.0244887274503771
"38",37,0.001,601,0.00613249547259754,-0.00498262011519409,0.00404835247303021
"39",38,0.001,602,0.0122405495675494,0.00724606786547965,0.00617213934438329
"40",39,0.001,603,0.00574464481632102,-0.000178255582726121,0.00256968410318531
"41",40,0.001,604,0.00333685956220755,-0.000510291039855012,0.000854892800728288
"42",41,0.001,605,0.000499979242111271,0.00369296901346577,0.0272771727018683
"43",42,0.001,607,0.00797972291469253,0.00119392846418845,0.0028231196726302
"44",43,0.001,608,0.00483320055501081,0.00769171176770743,0.0122408390142537
"45",44,0.001,609,0.000731490722451968,0.000132763687045325,0.000255651054623198
"46",45,0.001,610,0.000173496860463915,0.00047357290221683,0.00129265332591258
"47",46,0.001,611,0,0,0
"48",47,0.001,612,0.000458047652264609,3.6585697741195e-05,0.000503983617912611
"49",48,0.001,701,0.0197885255114243,0.00591843316774853,0.00417945973252177
"50",49,0.001,702,0.00774467271099593,-0.000563213265326967,0.00242949847393505
"51",50,0.001,703,0.00406995899937417,-0.00175222948556977,0.00103564820545415
"52",51,0.001,704,0.000453521050614704,-0.00387501600234402,0.0331092658170328
"53",52,0.001,705,0.00796999322836957,0.0156701015521271,0.0308095723067773
"54",53,0.001,801,0.0158853007883993,0.00155448912359186,0.0049986387084829
"55",54,0.001,802,0.000231985660519484,0.00287964628065036,0.0357451520197171
"56",55,0.001,803,0.00488430021165287,-0.00116824503460727,0.000279425178990522
"57",56,0.001,805,0.0161028285852566,0.0136005587806169,0.016750684454994
"58",57,0.001,901,5.93598427258811e-05,-0.000733197979193145,0.00905627865584835
"59",58,0.001,902,0.00190935704422813,0.00630670697931712,0.0208313856453423
"60",59,0.001,903,0.0147317310647958,0.00610322382102101,0.0026054529281693
"61",60,0.001,905,0.00811200259599897,-0.000479653793742472,2.83614014084537e-05
"62",61,0.001,906,0.00785765790731753,0.0091591633490595,0.0106762440213427
"63",62,0.001,908,0.00406704132009529,-0.00125512987414542,0.000533883723966293
"64",63,0.001,950,0.000226849866340368,0.000124848965947943,6.8711807283515e-05
"65",64,0.001,951,0.00176514772153669,0.00077219853224334,0.000337813411264897
"66",65,0.001,952,0.000154812586450776,4.24628175761704e-05,1.16469268929916e-05
"67",66,0.001,953,0.00450252241011847,0.000637716738297933,9.03232902053792e-05
"68",67,0.001,1001,0,0,0
"69",68,0.001,1003,0.0176152044465763,0.016541077603748,0.0155324480691107
"70",69,0.001,1004,0.018595342223862,0.000449236324289079,0.00616960211274498
"71",70,0.001,1005,0.00791014015416593,-0.00279639795962117,0.000988584449348225
