"","ID_label","Young_value","id_cell","sig_xx","sig_xy","sig_yy"
"1",0,0.002,0,0,0,0
"2",1,0.001,101,0.00402380743285201,-0.0044458267873791,0.0137557806764106
"3",2,0.001,102,0.00236676379200656,0.000945133757514988,0.0154128243172561
"4",3,0.001,103,0.00826019616562219,0.00656100663959944,0.00951939194364044
"5",4,0.001,104,0.0141276729434884,-0.00400097817694343,0.00365191516577419
"6",5,0.001,105,0.0152134603946817,-0.00185861390461468,0.00256612771458097
"7",6,0.001,106,0.0113565387489763,-0.0061121495596585,0.00642304936028634
"8",7,0.001,108,0.013354942525024,0.00484826265419507,0.00442464558423864
"9",8,0.001,109,0.00779459235442947,-0.00649951804848542,0.00998499575483316
"10",9,0.001,111,0.0154806693874548,-5.96990275565012e-05,0.0022989187218078
"11",10,0.001,202,0.00423745418648595,-0.00466893300208708,0.0135421339227767
"12",11,0.001,203,0.00386575955832444,0.00426641289687616,0.0139138285509382
"13",12,0.001,204,0.0111726120542765,0.0061831984932726,0.00660697605498611
"14",13,0.001,205,0.0149813342626518,-0.00251720867644749,0.00279825384661083
"15",14,0.001,207,0.0113013735975697,-0.00613412469181986,0.00647821451169298
"16",15,0.001,208,0.0152900756930111,0.00157467348238655,0.00248951241625154
"17",16,0.001,302,0.00654368044902503,0.00615946041275547,0.0112359076602376
"18",17,0.001,303,0.0154132679432789,-0.000942066903593315,0.00236632016598373
"19",18,0.001,304,0.0137589658821654,-0.00444233804889508,0.00402062222709721
"20",19,0.001,305,0.0091184393837434,-0.00658717867832564,0.00866114872551924
"21",20,0.001,306,0.00815897308398856,-0.00655050397569389,0.00962061502527407
"22",21,0.001,307,0.0142343455462241,0.00385732692164231,0.00354524256303857
"23",22,0.001,308,0.00238197899577884,-0.00104477020750293,0.0153976091134838
"24",23,0.001,402,0.0114393051842913,0.00607809136377964,0.00634028292497135
"25",24,0.001,403,0.015340713569529,-0.001352345754245,0.00243887453973359
"26",25,0.001,404,0.00994627647778888,-0.00650592395561705,0.00783331163147375
"27",26,0.001,405,0.0147452103255699,0.00302610342201652,0.0030343777836927
"28",27,0.001,406,0.00381832713552375,-0.00420991982288384,0.0139612609737389
"29",28,0.001,407,0.0137418809245956,-0.00446099256141869,0.00403770718466702
"30",29,0.001,408,0.00292359597003604,0.00280137145735519,0.0148559921392266
"31",30,0.001,409,0.0058718343784592,0.00585961782198394,0.0119077537308034
"32",31,0.001,502,0.0137880103005411,0.0044102924205792,0.00399157780872155
"33",32,0.001,503,0.0154764001120566,-0.000244585917421154,0.00230318799720599
"34",33,0.001,504,0.00814884445559635,-0.00654936602415857,0.00963074365366628
"35",34,0.001,505,0.00248706199302479,-0.00156468008678726,0.0152925261162378
"36",35,0.001,506,0.0134489708697788,-0.00475994836053233,0.00433061723948384
"37",36,0.001,507,0.00602875053829198,0.00593781370744531,0.0117508375709706
"38",37,0.001,601,0.0102390814854291,-0.00645155989321991,0.00754050662383348
"39",38,0.001,602,0.0114355770900531,0.00607965380291273,0.00634401101920951
"40",39,0.001,603,0.0154397757970736,-0.000735486777845119,0.002339812312189
"41",40,0.001,604,0.0149856956730108,-0.00250662823046246,0.00279389243625185
"42",41,0.001,605,0.00253592509563625,0.00175258405750815,0.0152436630136264
"43",42,0.001,607,0.0148708015755281,0.00276961200562251,0.00290878653373449
"44",43,0.001,608,0.0060301998635186,0.00593851182442766,0.011749388245744
"45",44,0.001,609,0.0146454635864697,0.0032117705190408,0.00313412452279289
"46",45,0.001,610,0.0139210134974963,-0.00425793759283178,0.00385857461176634
"47",46,0.001,611,0.0154605457854848,-0.000518095858117308,0.0023190423237778
"48",47,0.001,612,0.0123942702633518,-0.00558227983257959,0.00538531784591084
"49",48,0.001,701,0.0141416302644731,0.00398263958345564,0.00363795784478956
"50",49,0.001,702,0.0153377323750506,-0.00136648931308726,0.00244185573421206
"51",50,0.001,703,0.0132041920012137,-0.00498288791618261,0.00457539610804896
"52",51,0.001,704,0.00247677559711362,-0.00152197105434043,0.015302812512149
"53",52,0.001,705,0.00500787863514642,0.0053267189059193,0.0127717094741162
"54",53,0.001,801,0.0152275685847073,0.00180992144377395,0.00255201952455532
"55",54,0.001,802,0.0023836496306325,0.00105512386039833,0.0153959384786301
"56",55,0.001,803,0.014767605125182,-0.00298237131250028,0.00301198298408064
"57",56,0.001,805,0.0087328555832724,0.00658927704250779,0.00904673252599024
"58",57,0.001,901,0.00238448970875321,-0.0010602909950632,0.0153950984005094
"59",58,0.001,902,0.00340545921408075,0.00365585461738236,0.0143741288951819
"60",59,0.001,903,0.0135350571478022,0.00467597395436902,0.00424453096146046
"61",60,0.001,905,0.0154350120460786,-0.000776738740598747,0.00234457606318399
"62",61,0.001,906,0.00788743028824811,0.00651448144571422,0.00989215782101452
"63",62,0.001,908,0.0142628686417966,-0.00381749539717755,0.00351671946746607
"64",63,0.001,950,0.0124163371785628,0.00556836557903345,0.00536325093069986
"65",64,0.001,951,0.0133633757359946,0.0048404822659404,0.00441621237326802
"66",65,0.001,952,0.0145585942469267,0.00336272300473065,0.00322099386233595
"67",66,0.001,953,0.0152216957012989,0.00183036148441809,0.00255789240796374
"68",67,0.001,1001,0.00232164366061592,0.000550092745187729,0.0154579444486467
"69",68,0.001,1003,0.00930393350939666,0.0065781220829899,0.00847565459986597
"70",69,0.001,1004,0.0154637765961983,0.000475347420194614,0.00231581151306437
"71",70,0.001,1005,0.0140164817708516,-0.00414249619035056,0.00376310633841104
