"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Elastic Strain:0","Elastic Strain:1","Elastic Strain:2","Elastic Strain:3","Elastic Strain:4","Elastic Strain:5","Elastic Strain:6","Elastic Strain:7","Elastic Strain:8","Elastic Stress:0","Elastic Stress:1","Elastic Stress:2","Elastic Stress:3","Elastic Stress:4","Elastic Stress:5","Elastic Stress:6","Elastic Stress:7","Elastic Stress:8","Points:0","Points:1","Points:2","Total Strain:0","Total Strain:1","Total Strain:2","Total Strain:3","Total Strain:4","Total Strain:5","Total Strain:6","Total Strain:7","Total Strain:8","Total Stress:0","Total Stress:1","Total Stress:2","Total Stress:3","Total Stress:4","Total Stress:5","Total Stress:6","Total Stress:7","Total Stress:8","vtkOriginalPointIds"
-25.746,45.431,0,0.0064134,0.0049006,0,0.0049006,-0.0002092,0,0,0,0,0.14426,0.064794,0,0.085437,0.063156,0,0,0,0.059087,55.956,114.62,0,0.077779,0.037472,0,0.037472,0.014761,0,0,0,0,2.0884,0.49976,0,0.82514,1.182,0,0,0,0.88133,974
-25.431,46.401,0,0.0069757,0.0042669,0,0.0042669,-0.0024242,0,0,0,0,0.13723,0.060182,0,0.075819,0.015176,0,0,0,0.043347,62.761,116.53,0,0.078932,0.031273,0,0.031273,0.0077134,0,0,0,0,2.0509,0.40845,0,0.72173,1.0025,0,0,0,0.82519,975
-6.8398,12.976,0,-0.0081665,0.0036053,0,0.0036053,0.015093,0,0,0,0,-0.056655,0.013116,0,0.044874,0.29039,0,0,0,0.065966,-41.02,-53.308,0,-0.0060919,0.021368,0,0.021368,0.16968,0,0,0,0,1.4029,-0.24227,0,0.5766,4.6233,0,0,0,1.558,1084
-25.639,45.762,0,0.0062038,0.0050804,0,0.0050804,-0.0017085,0,0,0,0,0.12453,0.070844,0,0.086174,0.026051,0,0,0,0.042813,58.224,115.26,0,0.075888,0.033499,0,0.033499,0.010012,0,0,0,0,1.9903,0.4417,0,0.74965,1.0357,0,0,0,0.8181,3211
-25.533,46.084,0,0.0065736,0.004818,0,0.004818,-0.001849,0,0,0,0,0.13236,0.067087,0,0.083268,0.025838,0,0,0,0.044996,60.492,115.89,0,0.078588,0.032377,0,0.032377,0.0088062,0,0,0,0,2.0519,0.42466,0,0.73969,1.029,0,0,0,0.83232,3212
-25.319,46.799,0,0.0068142,0.0042439,0,0.0042439,-0.003092,0,0,0,0,0.12707,0.061543,0,0.074279,-0.0022041,0,0,0,0.035449,65.576,117.58,0,0.078672,0.030443,0,0.030443,0.0064602,0,0,0,0,2.0323,0.39808,0,0.70396,0.96661,0,0,0,0.81078,3213
-7.8593,14.312,0,-0.0059779,0.0059246,0,0.0059246,0.013428,0,0,0,0,-0.026258,0.04569,0,0.082725,0.27645,0,0,0,0.070951,-39.466,-45.959,0,0.0014122,0.038743,0,0.038743,0.16095,0,0,0,0,1.4691,0.034795,0,0.91756,4.4927,0,0,0,1.5463,3296
-7.5222,13.866,0,-0.0070625,0.0045772,0,0.0045772,0.014371,0,0,0,0,-0.039692,0.026641,0,0.061245,0.28561,0,0,0,0.069602,-39.984,-48.409,0,-0.0033649,0.028096,0,0.028096,0.16676,0,0,0,0,1.4281,-0.13728,0,0.70872,4.5828,0,0,0,1.5561,3297
-7.1826,13.421,0,-0.0070625,0.0045772,0,0.0045772,0.014371,0,0,0,0,-0.039692,0.026641,0,0.061245,0.28561,0,0,0,0.069602,-40.502,-50.859,0,-0.0033649,0.028096,0,0.028096,0.16676,0,0,0,0,1.4281,-0.13728,0,0.70872,4.5828,0,0,0,1.5561,3298
-6.4696,12.596,0,-0.0036359,-0.0014774,0,-0.0014774,0.015391,0,0,0,0,0.062064,-0.064011,0,-0.013766,0.33148,0,0,0,0.11195,-41.137,-55.763,0,-0.0015975,-0.018741,0,-0.018741,0.16433,0,0,0,0,1.5591,-0.90206,0,-0.13881,4.4179,0,0,0,1.5498,3299
